Run 2 - Turn the car on, toggle the key, pressed the throttle a few times

CAN Display - log recorder
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x10A006 [8] <0:0:0:0:0:0:0:0>
CAN MSG: 0x618A001 [8] <0:9:5:CE:5:11:5F:0>
CAN MSG: 0x810A000 [8] <1:FE:18:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:83>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:88:10:80:0:0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:10:20:0:20>
CAN MSG: 0x618A001 [8] <0:A:5:A1:5:11:5E:0>
CAN MSG: 0x618A001 [8] <0:9:5:8B:5:10:5D:0>
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0xA18A000 [8] <A2:84:40:71:0:58:20:2C>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:A8:10:7F:F0:0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:11:20:0:20>
CAN MSG: 0x618A001 [8] <0:B:5:64:5:10:5C:0>
CAN MSG: 0x28A00F [8] <45:0:17:B7:81:A7:FF:0>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:78:E:80:0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:84:10:30:0:20>
CAN MSG: 0x618A001 [8] <0:B:5:4C:8:10:5B:2>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x618A001 [8] <1:E:5:4C:3A:F:5B:42>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0xA1CA001 [8] <0:2:0:0:0:0:1:80>
CAN MSG: 0x220A006 [8] <81:50:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:88:E:7F:F0:0:0:0>
CAN MSG: 0x10A006 [8] <0:0:0:0:0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:79:3A:30:0:20>
CAN MSG: 0x618A001 [8] <0:23:8:B6:B:F:61:B>
CAN MSG: 0x810A000 [8] <1:FE:18:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8B>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:68:10:7F:F0:0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:13:20:0:20>
CAN MSG: 0x618A001 [8] <0:C:8:32:0:F:6E:0>
CAN MSG: 0x618A001 [8] <0:C:8:7:0:F:6D:0>
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:80>
CAN MSG: 0x220A006 [8] <81:50:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:A8:E:80:0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:86:12:30:0:20>
CAN MSG: 0x618A001 [8] <0:B:7:A7:E:F:6B:D>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:85>
CAN MSG: 0x28A00F [8] <D5:0:97:B7:81:87:FF:0>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:A8:E:7F:F0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:7E:2D:30:0:20>
CAN MSG: 0x618A001 [8] <0:26:9:52:23:E:61:2D>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8A>
CAN MSG: 0x28A00F [8] <14:0:E7:B6:81:88:0:0>
CAN MSG: 0x28A006 [8] <7C:78:10:80:0:0:0:0>
CAN MSG: 0x210A006 [8] <FF:3:FF:0:0:0:3:FD>
CAN MSG: 0x10A006 [8] <0:0:0:0:0:0:0:0>
CAN MSG: 0x618A001 [8] <0:0:8:44:0:10:6D:0>
CAN MSG: 0x810A000 [8] <1:FE:18:0:0:0:0:0>
CAN MSG: 0xA28A000 [8] <0:0:0:2C:8:4E:90:0>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:88:10:80:0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:80:18:20:0:20>
CAN MSG: 0x618A001 [8] <0:A:7:63:0:F:65:0>
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0x618A001 [8] <0:A:7:3C:0:F:64:0>
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0xA1CA001 [8] <0:2:1:0:0:0:1:80>
CAN MSG: 0x220A006 [8] <81:40:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:88:D:80:0:0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:8E:35:30:0:20>
CAN MSG: 0x618A001 [8] <1:28:7:5D:3B:E:58:55>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8D>
CAN MSG: 0x28A00F [8] <63:0:17:B9:81:87:FF:0>
